term,occurences,type,link
роспотребнадзор,1198,org,http://dbpedia.org/resource/Federal_Service_for_Surveillance_on_Consumer_Rights_Protection_and_Human_Wellbeing
рвсн,93,org,http://dbpedia.org/resource/Russian_Armed_Forces
вас,62,org,http://dbpedia.org/resource/East_African_Community
арбитражный суд,951,org,http://dbpedia.org/resource/Court_of_Arbitration_for_Sport
следственный управление,724,org,link_not_found
s ,971,org,http://dbpedia.org/resource/Queen's_University_at_Kingston
 jane,167,org,http://dbpedia.org/resource/Red_Hot_Chili_Peppers
московский хельсинкский группа,177,org,link_not_found
мемориал,194,org,http://dbpedia.org/resource/Memorial_(society)
олег орлов,54,pers,link_not_found
людмила алексеев,249,pers,link_not_found
рамзан кадыров,1146,pers,http://dbpedia.org/resource/Ramzan_Kadyrov
росалкогольрегулирование,91,org,http://dbpedia.org/resource/Federal_Service_for_Alcohol_Market_Regulation
торгово-промышленный палата,150,org,link_not_found
v1.ru,39,org,link_not_found
fox news,78,org,http://dbpedia.org/resource/Fox_News
клепач,94,pers,http://dbpedia.org/resource/Andreja_Klepač
андрей клепача,37,pers,link_not_found
алмаз-антей,91,org,http://dbpedia.org/resource/NPO_Almaz
пво,252,org,http://dbpedia.org/resource/Soviet_Air_Defence_Forces
александр зелин,51,pers,http://dbpedia.org/resource/Alexander_Zelin
all nippon airways,43,org,http://dbpedia.org/resource/All_Nippon_Airways
иисус христос,70,pers,http://dbpedia.org/resource/Jesus
агентство национальный безопасность,40,org,link_not_found
оон,1308,org,http://dbpedia.org/resource/United_Nations_peacekeeping
nature news,370,org,http://dbpedia.org/resource/World_Channel
intel,366,org,http://dbpedia.org/resource/Intel
hewlett-packard,102,org,http://dbpedia.org/resource/Hewlett-Packard
федеральный антимонопольный служба,614,org,link_not_found
dell,101,org,http://dbpedia.org/resource/Dell
юрий чайка,519,pers,http://dbpedia.org/resource/Yury_Chaika
иванов,484,pers,http://dbpedia.org/resource/Gjorge_Ivanov
edge,39,org,http://dbpedia.org/resource/Bristol_Rovers_F.C.
минкомсвязи,444,org,http://dbpedia.org/resource/DDoS-Guard
proceedings of the national academy of sciences,463,org,http://dbpedia.org/resource/HighWire
фрс,354,org,http://dbpedia.org/resource/Federal_Reserve
time,68,org,http://dbpedia.org/resource/Intel
федеральный резервный система,241,org,link_not_found
бен бернанке,37,pers,http://dbpedia.org/resource/Ben_Bernanke
capcom,164,org,http://dbpedia.org/resource/Capcom
famitsu,65,org,http://dbpedia.org/resource/Video_game_journalism
бмв,57,org,http://dbpedia.org/resource/BMW
ауди,50,org,link_not_found
центр,113,org,http://dbpedia.org/resource/Lviv
вооружить сила,658,org,link_not_found
вс,329,org,http://dbpedia.org/resource/United_States_Armed_Forces
нко,295,org,http://dbpedia.org/resource/Nonprofit_organization
министерство юстиция,355,org,link_not_found
владимир потанин,261,pers,http://dbpedia.org/resource/Vladimir_Potanin
потанин,103,pers,http://dbpedia.org/resource/Vladimir_Potanin
трансаэро,493,org,http://dbpedia.org/resource/Transaero
домодедово,1015,org,http://dbpedia.org/resource/S7_Airlines
федеральный миграционный служба,200,org,link_not_found
роснано,356,org,http://dbpedia.org/resource/VEB.RF
